criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.1.1,1,div:nth-of-type(1) > a > div > div > img,image?url=%2F_next%2Fstatic%2Fmedia%2Flogo.0o_86pdiuqg22.png,"alt=""Usecipol""",dentro de un enlace: el alt debe describir el DESTINO,256x63,REQUIERE JUICIO,,
1.1.1,2,div > nav > div:nth-of-type(1) > a > svg,,"alt=""Inicio""",dentro de un enlace: el alt debe describir el DESTINO,17x17,REQUIERE JUICIO,,
1.1.1,3,main > section:nth-of-type(1) > div > div:nth-of-type(4) > img,image?url=https%3A%2F%2Fstrapi.usecipol.macod.ec%2Fuploads%2,"alt=""Imagen destacada de la Universidad de Seguridad y Ciencias Policiales""",,1280x520,REQUIERE JUICIO,,
1.1.1,4,section:nth-of-type(1) > div > div:nth-of-type(7) > div:nth-of-type(1) > img,image?url=%2F_next%2Fstatic%2Fmedia%2Fescudo1.2r09zqxup-1y4.,"alt=""Escudo de la Universidad de Seguridad Ciudadana y Ciencias Policiales""",,128x128,REQUIERE JUICIO,,
1.1.1,5,div:nth-of-type(1) > div > div > div:nth-of-type(1) > img,image?url=%2Fescudo%2FMesa%20de%20trabajo%201.png&w=1920&q=7,"alt=""Escudo pieza 1""",,224x224,REQUIERE JUICIO,,
1.1.1,6,div:nth-of-type(1) > div > div > div:nth-of-type(2) > img,image?url=%2Fescudo%2FMesa%20de%20trabajo%202.png&w=1920&q=7,"alt=""Escudo pieza 2""",,226x226,REQUIERE JUICIO,,
1.1.1,7,div:nth-of-type(1) > div > div > div:nth-of-type(3) > img,image?url=%2Fescudo%2FMesa%20de%20trabajo%203.png&w=1920&q=7,"alt=""Escudo pieza 3""",,55x55,REQUIERE JUICIO,,
1.1.1,8,div:nth-of-type(1) > div > div > div:nth-of-type(4) > img,image?url=%2Fescudo%2FMesa%20de%20trabajo%204.png&w=1920&q=7,"alt=""Escudo pieza 4""",,83x83,REQUIERE JUICIO,,
1.1.1,9,div > div:nth-of-type(2) > div:nth-of-type(2) > div > img,image?url=https%3A%2F%2Fstrapi.usecipol.macod.ec%2Fuploads%2,"alt=""Rector de USECIPOL""",,570x570,REQUIERE JUICIO,,
1.1.1,10,section:nth-of-type(3) > div:nth-of-type(3) > div:nth-of-type(1) > a:nth-of-type(1) > img,image?url=https%3A%2F%2Fstrapi.usecipol.macod.ec%2Fuploads%2,"alt=""USECIPOL desarrolló su deliberación pública como parte del proceso de Rendición de Cuentas""",dentro de un enlace: el alt debe describir el DESTINO,600x476,REQUIERE JUICIO,,
