id,id_auditoria,grupo,sigla,url,criterio,fecha,marca_extraccion_utc,hora_inicio,hora_fin,duracion_min,total_detectado,n,f,f_sobre_n,codigo,elementos_que_fallan,evaluador_cod,observaciones
7,70,mundo,UC Berkeley,https://www.berkeley.edu,2.4.4,2026-09-01,22:39:39,,,,60,20,0,0.0,1,,R01,"Diecinueve enlaces con nombre accesible descriptivo derivado del texto. El elemento 20 ('Learn more') tiene nombre generico; el contexto programatico se encuentra dos niveles por encima, en un div que enuncia 'Creating more venture-backed startups than any other university in the world'. Caso limitrofe: la formulacion estricta del criterio menciona parrafo, lista o celda, no div generico. Resuelto como conforme."
14,77,mundo,UCL,https://www.ucl.ac.uk,2.4.4,2026-09-01,22:41:46,,,,67,20,0,0.0,1,,R01,Dieciocho enlaces con nombre accesible descriptivo. Los elementos 14 y 19 ('Find out more') tienen nombre generico; el contexto programatico inmediato los identifica: 'Rankings / UCL ranked 8th best university in QS world rankings 2027' y 'UCL200 / UCL's Bicentenary'. La columna de contexto automatico no fue fiable en este sitio porque closest() alcanzaba un article que envuelve toda la portada; los casos se diagnosticaron a mano.
15,78,mundo,Cornell,https://www.cornell.edu,2.4.4,2026-09-01,22:46:53,,,,69,20,0,0.0,1,,R01,Todos los enlaces con nombre accesible descriptivo del destino. El elemento 8 usa aria-label 'Expand Apply Menu'. El 20 ('More news') es generico en apariencia pero indica el destino por si solo. Los ocho enlaces con aria-label 'Social Media Directory' detectados en 1.1.1 quedan fuera de la muestra de veinte primeros.
22,85,mundo,NUS,https://nus.edu.sg,2.4.4,2026-09-01,22:48:23,,,,61,20,1,0.05,P,17,R01,"Elemento 17: enlace de busqueda con href='#', sin nombre accesible por ninguna via y sin contenedor que aporte contexto. Es el mismo elemento que falla en 1.1.1 (search.jpg con alt='' y sin aria-label): una unica omision que incumple ambos criterios. Los elementos 19 y 20 son enlaces duplicados hacia el mismo destino, con nombre descriptivo; no constituye fallo."
29,92,mundo,Northwestern,https://www.northwestern.edu,2.4.4,2026-09-01,22:50:34,,,,84,20,0,0.0,1,,R01,"Los elementos 17 y 19 toman su nombre accesible del alt de la imagen ('Lab work', 'The Q'), insuficiente por si solo. El contenedor inmediato incluye categoria, titular completo y fuente, de modo que el contexto programatico identifica el destino. Los elementos 18 y 20 son sus hermanos con el titular como texto del enlace, hacia el mismo destino."
40,103,mundo,Manchester,https://www.manchester.ac.uk,2.4.4,2026-09-01,22:52:32,,,,52,20,0,0.0,1,,R01,Todos los enlaces con nombre accesible que identifica el destino. Los iconos de redes (14-17) usan aria-label con el nombre de cada plataforma. El elemento 6 amplia el texto visible 'About' mediante aria-label 'About The University of Manchester'. El elemento 10 ('Register now') queda resuelto por su contexto programatico: 'Undergraduate open days | 3 and 10 October'.
58,121,mundo,HKUST,https://hkust.edu.hk/,2.4.4,2026-09-01,22:53:39,,,,71,20,1,0.05,P,16,R01,"Elemento 16: enlace con href='#' sin nombre accesible ni contexto programatico. Los elementos 17 y 18 fueron marcados como genericos por la regla automatica de longitud minima de tres caracteres, inaplicable a escrituras logograficas: son las abreviaturas convencionales de chino tradicional y simplificado, con destinos /zh-hant y /zh-hans; se consideran conformes."
83,20,ecuador,UNESUM,https://unesum.edu.ec,2.4.4,2026-09-01,22:59:29,,,,30,20,4,0.2,P,"10, 16, 18, 20",R01,"Elemento 10: escudo institucional, imagen sin alt dentro de enlace al inicio. Elementos 16, 18 y 20: enlaces que envuelven el icono de 'Rectora', 'Plataformas' e 'Investigacion' con contenedor vacio; el texto va en un enlace hermano hacia el mismo destino, sin constituir contexto programatico. Los elementos del carrusel cambian de nombre accesible segun la diapositiva mostrada: en una lectura previa (22:56:32) aparecian sin aria-label y en esta con el; se conserva la lectura de las 22:59:29. Cociente exactamente en el umbral de 0,20."
95,32,ecuador,USECIPOL,https://usecipol.edu.ec,2.4.4,2026-09-01,23:00:46,,,,38,20,0,0.0,1,,R01,"Todos los enlaces con nombre accesible descriptivo: aria-label en iconos de navegacion y redes, texto completo en las noticias. Observacion al margen del criterio: los elementos 5 y 6, etiquetados 'LinkedIn' y 'YouTube', apuntan ambos a https://www.google.com; el nombre no corresponde al destino real, lo que no incumple 2.4.4 pero constituye un defecto de calidad del enlace."
96,33,ecuador,IAEN,https://www.iaen.edu.ec,2.4.4,2026-09-01,23:02:23,,,,19,19,6,0.3158,0,"10, 11, 12, 13, 14, 15",R01,"Seis enlaces consecutivos con el texto identico 'Haz clic aqui' y sin contenedor que aporte contexto programatico, hacia destinos distintos: biblioteca, editorial, campus, bienestar universitario, bolsa de empleo e intranet. El nombre no permite distinguirlos ni determinar el proposito. La deteccion automatica no los marco porque la lista de terminos genericos no incluia esa variante; se identificaron por revision. Muestra completa: 19 enlaces visibles."
