criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.1.1,1,div:nth-of-type(2) > div:nth-of-type(2) > div > a > img,Escudoo.webp,"alt="""" (decorativa)",dentro de un enlace: el alt debe describir el DESTINO,80x102,REQUIERE JUICIO,,
1.1.1,2,div > div:nth-of-type(1) > div:nth-of-type(2) > div > img,eslog.png,"alt="""" (decorativa)",,347x137,REQUIERE JUICIO,,
1.1.1,3,div > div:nth-of-type(3) > div:nth-of-type(1) > div:nth-of-type(1) > img,9.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,4,div > div:nth-of-type(3) > div:nth-of-type(1) > div:nth-of-type(2) > img,5.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,5,div > div:nth-of-type(3) > div:nth-of-type(2) > div:nth-of-type(1) > img,8.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,6,div > div:nth-of-type(3) > div:nth-of-type(2) > div:nth-of-type(2) > img,7.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,7,div > div:nth-of-type(3) > div:nth-of-type(3) > div > img,Doctores0-683x1024.webp,"alt="""" (decorativa)",,325x487,REQUIERE JUICIO,,
1.1.1,8,div > div:nth-of-type(3) > div:nth-of-type(4) > div:nth-of-type(1) > img,6.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,9,div > div:nth-of-type(3) > div:nth-of-type(4) > div:nth-of-type(2) > img,4.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,10,div > div:nth-of-type(3) > div:nth-of-type(5) > div:nth-of-type(1) > img,3.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,11,div > div:nth-of-type(3) > div:nth-of-type(5) > div:nth-of-type(2) > img,1.webp,"alt="""" (decorativa)",,209x209,REQUIERE JUICIO,,
1.1.1,12,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(1) > a > div,,"alt=""CalendarioAcademicoPI2026""",dentro de un enlace: el alt debe describir el DESTINO,620x600,REQUIERE JUICIO,,
1.1.1,13,#swiper-wrapper-d410a2944d1f3a8ba > div:nth-of-type(2) > div,,"alt=""Actualizacion Turismo""",,620x600,REQUIERE JUICIO,,
