id,grupo,sigla,url,nodos_revision_humana,reglas_axe_no_decididas,c1_1_1_alt_adecuado,c1_4_3_contraste_real,c2_4_4_nombre_enlace_significativo,evaluador,fecha,observaciones
7,mundo,UC Berkeley,https://www.berkeley.edu,2,color-contrast; identical-links-same-purpose,,,,,,
14,mundo,UCL,https://www.ucl.ac.uk,302,color-contrast-enhanced; color-contrast; identical-links-same-purpose,,,,,,
15,mundo,Cornell,https://www.cornell.edu,70,color-contrast; color-contrast-enhanced; aria-prohibited-attr; video-caption; identical-links-same-purpose,,,,,,
22,mundo,NUS,https://nus.edu.sg,13,color-contrast; identical-links-same-purpose,,,,,,
29,mundo,Northwestern,https://www.northwestern.edu,7,video-caption; aria-valid-attr-value; color-contrast,,,,,,
40,mundo,Manchester,https://www.manchester.ac.uk,27,color-contrast,,,,,,
58,mundo,HKUST,https://hkust.edu.hk/,128,color-contrast; color-contrast-enhanced; identical-links-same-purpose; video-caption,,,,,,
83,ecuador,UNESUM,https://unesum.edu.ec,19,color-contrast; color-contrast-enhanced; aria-valid-attr-value; aria-prohibited-attr,,,,,,
95,ecuador,USECIPOL,https://usecipol.edu.ec,8,color-contrast; video-caption,,,,,,
96,ecuador,IAEN,https://www.iaen.edu.ec,29,color-contrast; aria-valid-attr-value; color-contrast-enhanced; identical-links-same-purpose,,,,,,
102,ecuador,ULVR,https://www.ulvr.edu.ec,11,color-contrast; identical-links-same-purpose,,,,,,
103,ecuador,UTPL,https://www.utpl.edu.ec,13,color-contrast; identical-links-same-purpose; video-caption; no-autoplay-audio,,,,,,
106,ecuador,UPS,https://www.ups.edu.ec,12,color-contrast; color-contrast-enhanced; identical-links-same-purpose,,,,,,
114,ecuador,UTI,https://www.indoamerica.edu.ec,49,color-contrast; color-contrast-enhanced; aria-valid-attr-value; aria-prohibited-attr; identical-links-same-purpose,,,,,,
124,ecuador,ECOTEC,https://ecotec.edu.ec,58,color-contrast; color-contrast-enhanced; identical-links-same-purpose; video-caption,,,,,,
