Grupo,Universidad,Sigla,Tipo/Pais,Sitio oficial,Banner (estudio),Politica de cookies,Confirmado,CMP detectada,Observaciones
"Nacional,""Escuela Politécnica Nacional"",""EPN"",""Pública · Quito"",""https://www.epn.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Escuela Superior Politécnica del Litoral"",""ESPOL"",""Pública · Guayaquil"",""https://www.espol.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Escuela Superior Politécnica de Chimborazo"",""ESPOCH"",""Pública · Riobamba"",""https://www.espoch.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López"",""ESPAM MFL"",""Pública · Calceta"",""https://www.espam.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de las Fuerzas Armadas ESPE"",""ESPE"",""Pública · Sangolquí"",""https://www.espe.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Central del Ecuador"",""UCE"",""Pública · Quito"",""https://www.uce.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de Cuenca"",""UCuenca"",""Pública · Cuenca"",""https://www.ucuenca.edu.ec"",""Sí"",""Sí"","""","""","""""
"Nacional,""Universidad de Guayaquil"",""UG"",""Pública · Guayaquil"",""https://www.ug.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Nacional de Loja"",""UNL"",""Pública · Loja"",""https://www.unl.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Agraria del Ecuador"",""UAE"",""Pública · Guayaquil"",""https://www.uagraria.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica de Ambato"",""UTA"",""Pública · Ambato"",""https://uta.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica de Babahoyo"",""UTB"",""Pública · Babahoyo"",""https://utb.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica de Cotopaxi"",""UTC"",""Pública · Latacunga"",""https://www.utc.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Universidad Técnica de Machala"",""UTMACH"",""Pública · Machala"",""https://www.utmachala.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica de Manabí"",""UTM"",""Pública · Portoviejo"",""https://www.utm.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica del Norte"",""UTN"",""Pública · Ibarra"",""https://www.utn.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica Estatal de Quevedo"",""UTEQ"",""Pública · Quevedo"",""https://www.uteq.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica Luis Vargas Torres de Esmeraldas"",""UTELVT"",""Pública · Esmeraldas"",""https://www.utelvt.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Estatal de Bolívar"",""UEB"",""Pública · Guaranda"",""https://www.ueb.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Estatal del Sur de Manabí"",""UNESUM"",""Pública · Jipijapa"",""https://unesum.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Estatal de Milagro"",""UNEMI"",""Pública · Milagro"",""https://www.unemi.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Universidad Estatal Amazónica"",""UEA"",""Pública · Puyo"",""https://www.uea.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Estatal Península de Santa Elena"",""UPSE"",""Pública · La Libertad"",""https://www.upse.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Laica Eloy Alfaro de Manabí"",""ULEAM"",""Pública · Manta"",""https://www.uleam.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Nacional de Chimborazo"",""UNACH"",""Pública · Riobamba"",""https://www.unach.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Nacional de Educación"",""UNAE"",""Pública · Azogues"",""https://unae.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Politécnica Estatal del Carchi"",""UPEC"",""Pública · Tulcán"",""https://upec.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de Investigación de Tecnología Experimental Yachay"",""Yachay Tech"",""Pública · Urcuquí"",""https://yachaytech.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Regional Amazónica Ikiam"",""Ikiam"",""Pública · Tena"",""https://www.ikiam.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de las Artes"",""UArtes"",""Pública · Guayaquil"",""https://www.uartes.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Intercultural de las Nacionalidades y Pueblos Indígenas Amawtay Wasi"",""Amawtay Wasi"",""Pública · Quito"",""https://uaw.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de Seguridad Ciudadana y Ciencias Policiales"",""USECIPOL"",""Pública · Quito"",""https://usecipol.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Instituto de Altos Estudios Nacionales"",""IAEN"",""Pública · Quito"",""https://www.iaen.edu.ec"",""Sí"",""Sí"","""","""","""""
"Nacional,""Universidad Andina Simón Bolívar, sede Ecuador"",""UASB"",""Pública · Quito"",""https://www.uasb.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""FLACSO Ecuador"",""FLACSO"",""Pública · Quito"",""https://www.flacso.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Pontificia Universidad Católica del Ecuador"",""PUCE"",""Cofinanciada · Quito"",""https://www.puce.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Católica de Santiago de Guayaquil"",""UCSG"",""Cofinanciada · Guayaquil"",""https://www.ucsg.edu.ec"",""Sí"",""Sí"","""","""","""""
"Nacional,""Universidad Católica de Cuenca"",""UCACUE"",""Cofinanciada · Cuenca"",""https://www.ucacue.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Laica Vicente Rocafuerte de Guayaquil"",""ULVR"",""Cofinanciada · Guayaquil"",""https://www.ulvr.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Técnica Particular de Loja"",""UTPL"",""Cofinanciada · Loja"",""https://www.utpl.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad UTE"",""UTE"",""Cofinanciada · Quito"",""https://ute.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad del Azuay"",""UDA"",""Cofinanciada · Cuenca"",""https://www.uazuay.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Politécnica Salesiana"",""UPS"",""Cofinanciada · Cuenca"",""https://www.ups.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Internacional SEK"",""UISEK"",""Autofinanciada · Quito"",""https://uisek.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Universidad de Especialidades Espíritu Santo"",""UEES"",""Autofinanciada · Samborondón"",""https://uees.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad San Francisco de Quito"",""USFQ"",""Autofinanciada · Quito"",""https://www.usfq.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de las Américas"",""UDLA"",""Autofinanciada · Quito"",""https://www.udla.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Internacional del Ecuador"",""UIDE"",""Autofinanciada · Quito"",""https://www.uide.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Universidad Regional Autónoma de los Andes"",""UNIANDES"",""Autofinanciada · Ambato"",""https://www.uniandes.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Universidad del Pacífico Escuela de Negocios"",""UPACÍFICO"",""Autofinanciada · Guayaquil"",""https://upacifico.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Tecnológica Indoamérica"",""UTI"",""Autofinanciada · Ambato"",""https://www.indoamerica.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Casa Grande"",""Casa Grande"",""Autofinanciada · Guayaquil"",""https://www.casagrande.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Tecnológica Empresarial de Guayaquil"",""UTEG"",""Autofinanciada · Guayaquil"",""https://www.uteg.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Tecnológica Israel"",""UISRAEL"",""Autofinanciada · Quito"",""https://www.uisrael.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Universidad de Especialidades Turísticas"",""UDET"",""Autofinanciada · Quito"",""https://www.udet.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Metropolitana del Ecuador"",""UMET"",""Autofinanciada · Guayaquil"",""https://umet.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de Otavalo"",""U. Otavalo"",""Autofinanciada · Otavalo"",""https://www.uotavalo.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad San Gregorio de Portoviejo"",""USGP"",""Autofinanciada · Portoviejo"",""https://www.sangregorio.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad de los Hemisferios"",""U. Hemisferios"",""Autofinanciada · Quito"",""https://www.uhemisferios.edu.ec"",""Sí"",""No"","""","""","""""
"Nacional,""Universidad Iberoamericana del Ecuador"",""UNIB.E"",""Autofinanciada · Quito"",""https://unibe.edu.ec"",""No detectable"",""Sí"","""","""","""""
"Nacional,""Universidad Tecnológica Ecotec"",""ECOTEC"",""Autofinanciada · Samborondón"",""https://ecotec.edu.ec"",""Sí"",""Sí"","""","""","""""
"Nacional,""Universidad del Río"",""UDR"",""Autofinanciada · Guayaquil"",""https://udr.edu.ec"",""No detectable"",""No"","""","""","""""
"Nacional,""Universidad Bolivariana del Ecuador"",""UBE"",""Autofinanciada · Durán"",""https://ube.edu.ec"",""Sí"",""Sí"","""","""","""""
"Extranjera,""Massachusetts Institute of Technology"",""MIT"",""EE.UU."",""https://www.mit.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Stanford University"",""Stanford"",""EE.UU."",""https://www.stanford.edu"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""Harvard University"",""Harvard"",""EE.UU."",""https://www.harvard.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of Oxford"",""Oxford"",""Reino Unido"",""https://www.ox.ac.uk"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""University of Cambridge"",""Cambridge"",""Reino Unido"",""https://www.cam.ac.uk"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""California Institute of Technology"",""Caltech"",""EE.UU."",""https://www.caltech.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of California, Berkeley"",""UC Berkeley"",""EE.UU."",""https://www.berkeley.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Princeton University"",""Princeton"",""EE.UU."",""https://www.princeton.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""Imperial College London"",""Imperial"",""Reino Unido"",""https://www.imperial.ac.uk"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""University of Chicago"",""U Chicago"",""EE.UU."",""https://www.uchicago.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""ETH Zurich"",""ETH Zurich"",""Suiza · Europa cont."",""https://ethz.ch"",""No detectable"",""No"","""","""","""""
"Extranjera,""Yale University"",""Yale"",""EE.UU."",""https://www.yale.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""University of Pennsylvania"",""UPenn"",""EE.UU."",""https://www.upenn.edu"",""No detectable"",""No"","""","""","""""
"Extranjera,""University College London"",""UCL"",""Reino Unido"",""https://www.ucl.ac.uk"",""No detectable"",""Sí"","""","""","""""
"Extranjera,""Cornell University"",""Cornell"",""EE.UU."",""https://www.cornell.edu"",""No detectable"",""No"","""","""","""""
