Dispositivo,Modo,Android_SDK,Capacidad (mAh),Tiempo en batería,Tiempo pantalla apagada,Batería inicio (%),Batería fin (%),Caída batería (%),Descarga total (mAh),Descarga pantalla off (mAh),Descarga pantalla on (mAh),Computed drain (mAh),Actual drain,Drain screen (mAh),Drain CPU (mAh),Drain sensors (mAh),Drain wakelock (mAh),Drain mobile radio (mAh),Drain WiFi (mAh),Drain idle (mAh),App UID,App total (mAh),App CPU (mAh),App CPU time,App wakelock (mAh),App wakelock time,App sensors (mAh),App sensors time,App WiFi (mAh),App GPS (mAh),App GPS time,Warnings
D01 - Samsung Galaxy A34,continuous,31,5000.0,2h 4m 1s 518ms (98.4%),1h 59m 15s 450ms (96.2%),100,98,2,115.0,115.0,0.0,115.0,100-150,11.4,66.4,8.26,13.4,3.22,0.0,22.7,u0a354,63.2,5.91,8m 15s 734ms,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 31) — verificar manualmente"
D01 - Samsung Galaxy A34,passive,31,5000.0,2h 0m 51s 785ms (98.5%),2h 0m 6s 707ms (99.4%),100,99,1,70.0,70.0,0.0,70.0,50.0-100,1.79,51.4,7.09,13.2,3.14,0.0,21.5,u0a354,66.0,0.575,2m 31s 954ms,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 31) — verificar manualmente"
D01 - Samsung Galaxy A34,off,31,5000.0,2h 0m 10s 153ms (98.8%),1h 59m 43s 440ms (99.6%),100,100,0,15.0,10.0,5.0,15.0,0-50.0,1.06,14.2,3.98,7.85,3.12,0.0,16.0,u0a354,1.0,0.105,34s 596ms,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 31) — verificar manualmente"
D02 - Honor X7b,continuous,34,3500.0,"2h 5m 15s 367ms (99,0%)","1h 58m 11s 29ms (94,4%)",100,93,7,0.0,0.0,0.0,306.0,282-329,12.6,49.4,0.209,6.09,0.0,150.0,6.57,u0a401,165.0,2.47,9m 42s 581ms,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 34) — verificar manualmente"
D02 - Honor X7b,passive,34,3500.0,"2h 1m 36s 132ms (98,9%)","1h 55m 54s 161ms (95,3%)",100,93,7,0.0,0.0,0.0,306.0,282-329,10.2,118.0,0.195,5.17,0.0,2077.0,5.55,u0a402,2024.0,53.6,54m 29s 689ms,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 34) — verificar manualmente"
D02 - Honor X7b,off,34,3500.0,"1h 59m 37s 503ms (98,9%)","1h 52m 53s 686ms (94,4%)",100,98,2,0.0,0.0,0.0,71.0,47.1-94.1,12.0,47.0,0.179,0.758,0.0,814.0,1.21,u0a403,777.0,24.7,22m 13s 242ms,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 34) — verificar manualmente"
D03 - Honor Magic6,continuous,35,5800.0,"2h 0m 53s 558ms (98,0%)","1h 10m 12s 0ms (58,1%)",84,73,11,610.0,174.0,436.0,610.0,604-658,74.8,723.0,8.55,4.68,0.0,336.0,6.05,u0a300,169.0,0.0,,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 35) — verificar manualmente"
D03 - Honor Magic6,passive,35,5800.0,"1h 59m 21s 806ms (98,2%)","52m 45s 32ms (44,2%)",73,56,17,921.0,69.0,852.0,921.0,933-987,98.3,1005.0,8.38,3.52,0.0,773.0,6.2,u0a300,157.0,0.0,,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 35) — verificar manualmente"
D03 - Honor Magic6,off,35,5800.0,"2h 1m 40s 314ms (98,5%)","3m 47s 293ms (3,1%)",56,41,15,814.0,0.0,814.0,814.0,768-823,174.0,907.0,2.45,0.253,0.0,512.0,7.96,u0a301,35.5,0.0,,0.000161,145ms,0.0,,30.2,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 35) — verificar manualmente"
D04 - Galaxy A33,continuous,36,5035.0,2h 2m 19s 622ms (98.8%),2h 1m 7s 975ms (99.0%),100,100,0,445.0,435.0,10.0,425.0,425,1.77,237.0,3.29,29.5,54.7,4.28,0.0,u0a277,116.0,0.0,,0.0,,0.0,,0.0,0.0,,"battery_level: campo LEVEL: no encontrado, usando historial de eventos (Android SDK 36) — verificar manualmente | battery_level: NO SE PUDO EXTRAER — revisar manualmente"
